               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.023907,           0.0066567,           0.0077117,             0.86448,             0.76808,             0.82843,             0.63231,            0.018364,           0.0045515,           0.0067185,            0.006964,            0.006964,            0.006964
                  94,            0.023373,           0.0063903,           0.0080588,             0.88184,              0.7699,             0.84533,             0.63253,             0.01839,           0.0044577,           0.0060188,            0.006931,            0.006931,            0.006931
                  95,            0.023559,           0.0065209,           0.0075449,             0.85184,             0.77625,             0.84826,             0.64648,            0.018381,           0.0044708,           0.0064368,            0.006898,            0.006898,            0.006898
                  96,            0.022914,           0.0064807,            0.007538,             0.85919,             0.75059,             0.82911,             0.63543,              0.0183,           0.0045176,           0.0067185,            0.006865,            0.006865,            0.006865
                  97,            0.022666,           0.0064245,           0.0076295,             0.86236,             0.76183,             0.83052,             0.64789,             0.01828,           0.0044784,           0.0066305,            0.006832,            0.006832,            0.006832
                  98,            0.022837,           0.0065301,           0.0071686,             0.81387,             0.80248,             0.82764,              0.6312,            0.018072,           0.0044675,           0.0066017,            0.006799,            0.006799,            0.006799
                  99,            0.022655,           0.0064168,           0.0072226,             0.83636,             0.79717,             0.83303,             0.63278,             0.01812,           0.0044359,           0.0062613,            0.006766,            0.006766,            0.006766
                 100,            0.022602,           0.0062852,           0.0073132,             0.86255,             0.80009,             0.84185,             0.66305,            0.017468,           0.0044827,           0.0059585,            0.006733,            0.006733,            0.006733
                 101,            0.022773,           0.0064609,           0.0070453,             0.85001,             0.79777,             0.84124,             0.63381,            0.017918,           0.0044441,           0.0061692,              0.0067,              0.0067,              0.0067
                 102,            0.023117,           0.0064376,           0.0071959,             0.81668,             0.82359,             0.83245,             0.62854,            0.018203,           0.0044594,           0.0059037,            0.006667,            0.006667,            0.006667
                 103,            0.023205,           0.0062909,           0.0074921,             0.87928,             0.77942,              0.8472,             0.66526,            0.017739,            0.004479,           0.0057428,            0.006634,            0.006634,            0.006634
                 104,            0.022896,           0.0062703,           0.0071313,             0.86084,             0.78755,             0.82729,             0.63671,            0.017858,            0.004505,           0.0059085,            0.006601,            0.006601,            0.006601
                 105,            0.022589,           0.0063729,           0.0072835,             0.81105,             0.83918,              0.8553,             0.64517,            0.017977,           0.0044547,           0.0058358,            0.006568,            0.006568,            0.006568
                 106,            0.021925,            0.006393,           0.0069707,             0.83819,             0.80763,             0.83486,              0.6421,            0.017741,           0.0044201,           0.0060448,            0.006535,            0.006535,            0.006535
                 107,            0.022169,           0.0062089,           0.0069222,             0.82751,             0.79805,             0.83483,             0.63934,            0.017666,           0.0044831,           0.0059078,            0.006502,            0.006502,            0.006502
                 108,             0.02198,           0.0065918,           0.0067557,             0.84997,             0.80658,             0.85329,             0.66811,            0.017424,           0.0044362,           0.0055906,            0.006469,            0.006469,            0.006469
